name,SAT_BO0_best,SAT_BO0_avg,SAT_BO1_best,SAT_BO1_avg,SAT_BO2_best,SAT_BO2_avg,SAT_BO3_best,SAT_BO3_avg,SAT_BO4_best,SAT_BO4_avg,SAT_BO_best,SAT_BO_avg
v103-c76,80.02,76.89,83.85,80.77,84.78,80.63,84.35,79.89,85.31,81.12,90.45,85.36
v67-c304,93.32,89.49,95.59,90.28,90.84,88.08,95.60,89.68,96.49,89.02,95.99,94.60
v60-c73,90.34,84.66,90.97,84.66,94.93,89.22,91.31,86.21,97.41,89.06,98.24,95.68
v58-c50,97.01,87.34,96.21,83.33,93.25,87.89,96.65,89.49,97.46,83.21,97.10,95.30
v55-c67,96.70,87.21,97.08,84.98,94.67,86.26,97.29,84.79,96.28,84.05,98.25,94.46
v114-c152,90.76,82.26,81.79,80.20,87.52,84.22,87.25,84.15,87.07,81.32,93.89,90.35
v280-c375,72.20,68.32,75.09,71.04,73.72,71.34,71.04,70.47,74.60,72.83,80.33,77.82
v65-c128,90.74,78.53,82.14,81.69,84.80,79.32,88.86,82.00,85.06,76.83,84.98,84.24
v100-c158,76.26,73.22,81.42,75.54,80.62,73.95,81.88,75.92,81.92,72.73,81.25,78.19
v57-c90,97.04,85.73,94.03,82.66,94.93,81.54,93.81,87.66,93.61,83.35,98.03,92.25
v29-c21,98.55,94.87,98.59,94.65,98.60,94.80,98.69,94.85,98.75,95.00,98.84,98.45
v30-c30,70.80,65.88,70.64,65.97,70.74,65.78,70.89,66.12,70.91,65.94,91.05,74.55
v43-c46,97.76,83.38,97.43,83.35,97.83,83.49,97.01,83.24,97.66,84.22,98.00,91.91
v50-c28,80.85,75.41,85.44,75.27,78.50,75.49,86.56,77.07,77.31,73.93,96.56,87.76
v32-c33,90.86,82.35,90.94,82.40,84.91,80.29,90.51,82.19,90.57,82.48,90.58,85.87
v41-c18,97.58,87.92,97.90,89.09,98.52,90.70,98.02,91.04,97.84,91.66,98.42,96.64
v35-c57,91.68,87.66,91.93,87.77,91.06,87.38,91.56,87.65,92.96,89.71,98.05,91.69
v26-c27,98.10,84.22,98.47,84.39,98.07,86.51,98.38,84.17,98.74,84.39,98.69,94.80
v48-c60,73.02,70.37,77.81,73.41,72.82,69.09,80.61,74.97,75.75,60.96,82.34,77.92
v28-c35,94.66,90.13,97.38,96.31,94.40,90.22,96.86,93.63,98.16,96.68,97.78,97.43
v5-c4-1,94.95,83.95,84.84,74.66,97.27,80.87,84.84,74.66,71.13,67.92,98.70,90.49
v18-c17,97.83,89.23,97.73,91.79,97.81,91.78,93.63,90.52,93.76,88.34,97.66,94.88
v6-c4,99.88,95.38,99.88,97.16,99.90,97.72,99.53,97.04,99.90,96.03,99.90,99.39
v5-c4-2,95.39,90.94,95.39,89.27,95.39,85.89,99.14,93.12,95.39,81.06,99.61,99.46
v16-c16,97.01,88.32,94.91,91.11,96.80,86.11,96.98,95.95,91.34,78.85,97.65,97.28
v12-c10,99.71,86.98,99.29,93.75,99.16,97.03,98.94,95.02,98.41,93.20,99.71,99.34
v15-c20,94.98,81.95,98.11,80.90,86.43,72.56,88.39,75.91,80.56,74.99,87.79,85.45
v13-c17,81.06,79.68,90.82,84.50,78.48,75.27,92.66,82.86,78.48,75.27,89.10,85.63
v16-c14,98.15,84.49,91.34,72.59,98.07,83.88,98.07,95.72,91.34,75.58,98.83,96.78
v17-c22,98.99,97.83,99.37,96.21,99.14,97.60,99.36,94.12,98.95,92.24,99.38,98.83
