name,SAT_BO0_best,SAT_BO0_avg,SAT_BO1_best,SAT_BO1_avg,SAT_BO2_best,SAT_BO2_avg,SAT_BO3_best,SAT_BO3_avg,SAT_BO4_best,SAT_BO4_avg,SAT_BO_best,SAT_BO_avg
v103-c76,100.00,95.24,100.00,95.24,100.00,95.24,100.00,91.40,100.00,95.24,100.00,100.00
v67-c304,100.00,94.21,100.00,89.09,100.00,94.21,100.00,94.21,100.00,94.21,100.00,100.00
v60-c73,100.00,79.86,100.00,79.86,84.93,74.84,100.00,79.86,100.00,79.86,100.00,90.33
v58-c50,100.00,92.15,100.00,92.15,100.00,92.15,100.00,92.15,100.00,86.46,100.00,100.00
v55-c67,82.48,77.82,100.00,83.66,100.00,83.66,82.48,77.82,82.48,77.82,100.00,95.73
v114-c152,100.00,85.15,89.56,66.87,82.76,68.12,78.53,73.80,79.76,72.73,90.75,90.04
v280-c375,89.15,80.18,89.15,80.18,89.15,80.18,89.15,80.18,89.15,80.18,100.00,88.63
v65-c128,100.00,96.78,100.00,96.78,100.00,96.78,100.00,92.26,100.00,87.62,100.00,100.00
v100-c158,100.00,84.86,100.00,84.86,100.00,82.71,100.00,84.86,100.00,76.66,100.00,96.92
v57-c90,100.00,86.79,100.00,87.53,100.00,86.08,100.00,93.57,100.00,86.66,100.00,100.00
v29-c21,100.00,91.86,100.00,91.86,100.00,83.10,100.00,85.96,100.00,91.86,100.00,100.00
v30-c30,79.96,77.18,79.96,77.18,79.96,77.18,79.96,77.18,79.96,77.18,83.01,80.57
v43-c46,100.00,95.13,100.00,95.13,100.00,95.13,100.00,95.13,100.00,95.13,100.00,100.00
v50-c28,82.19,79.35,100.00,86.85,100.00,86.85,82.19,75.71,100.00,86.85,100.00,92.87
v32-c33,100.00,93.50,100.00,93.50,100.00,93.50,100.00,93.50,100.00,93.50,100.00,100.00
v41-c18,100.00,84.84,100.00,84.84,100.00,84.84,100.00,84.84,100.00,84.84,100.00,95.57
v35-c57,100.00,84.67,100.00,84.67,100.00,84.67,100.00,84.67,100.00,89.49,100.00,96.24
v26-c27,70.22,65.93,100.00,80.42,100.00,72.39,72.88,69.70,61.08,56.21,100.00,93.02
v48-c60,86.79,77.09,79.69,73.38,82.52,71.13,86.79,73.50,86.79,66.76,100.00,89.08
v28-c35,79.79,77.81,81.27,79.95,79.79,75.51,81.27,79.95,79.79,79.26,100.00,88.72
v5-c4-1,100.00,77.65,100.00,92.93,100.00,92.93,100.00,75.37,100.00,75.37,100.00,100.00
v18-c17,100.00,90.30,100.00,84.44,100.00,73.17,100.00,76.88,100.00,81.44,100.00,100.00
v6-c4,100.00,90.35,100.00,79.61,100.00,79.61,100.00,90.35,100.00,79.61,100.00,100.00
v5-c4-2,100.00,89.89,100.00,74.88,100.00,84.72,100.00,89.89,100.00,82.82,100.00,91.52
v16-c16,100.00,92.23,100.00,85.99,100.00,92.23,100.00,88.64,100.00,85.14,100.00,100.00
v12-c10,100.00,84.07,100.00,85.01,100.00,81.87,100.00,79.25,100.00,88.88,100.00,100.00
v15-c20,76.74,71.21,100.00,93.57,87.05,75.76,100.00,80.83,100.00,92.35,100.00,100.00
v13-c17,100.00,76.68,100.00,90.05,100.00,93.48,100.00,96.57,100.00,76.68,100.00,100.00
v16-c14,82.54,78.60,100.00,88.17,100.00,85.93,100.00,86.84,100.00,91.76,100.00,100.00
v17-c22,100.00,94.09,100.00,87.70,100.00,94.09,100.00,88.69,100.00,94.09,100.00,100.00
